0,97,000000000,Dorey,Y,Bsarisits,768,Hrnfeldt Pkwy,5510048,Uniopolis,OH,45888
0,44,000000000,Dorey,Y,Barisits,768,Hsornfeldt Pkwy,5510048,Uniopolis,OH,45888
0,75,000000000,Dorey,Y,Barisits,768,Hormfeldt Pkwy,5510048,Uniopolis,OH,45888
0,0,000000000,Dorey,Y,Bzrisits,768,Hornfeldt Pkwy,5510048,Uniopolis,OH,45888
0,64,000000000,Dorey,Y,Barisits,768,Hornfeldt Pkwy,5510048,Uniopolis,OH,45888
5,5,713012777,Yukio,N,Walko,768,Taprhi Road,5111348,Hargill,TX,78549
5,96,713012777,Yukio,N,Walko,768,Tapri Road,5111348,Hargill,TX,78549
7,98,360253386,Bowry,Q,Saji,48,hGionet Road,5012152,Ray City,GA,31645
7,7,360253386,Bowry,Q,Saji,48,Gionet Road,5012152,Ray City,GA,31645
9,33,535452857,Mock,K,Ryochi,14,Krisha Pkwy,5211254,Caldwell,WV,24925
9,9,535452757,Mock,K,Rylochi,14,Krisah Pkwy,5211254,Caldwell,WV,24925
9,70,535452757,Mock,K,Ryochi,14,Krusha Pkwy,5211254,Caldwell,WV,24925
9,79,535452757,Mock,K,Ryochi,14,Kriosha Pkwy,5211254,Caldwell,WV,24925
9,99,535452757,Mock,K,Ryochi,14,Krisha Pkwy,5211254,Caldwell,WV,24925
14,14,537853628,Buskirk,W,Leddy,702,Cortier Road,529854,Hamilton,OH,45026
15,15,000000000,Session,N,Hardin,361,Detrenier Ave,5510854,Harper,OR,97906
15,28,000000000,Session,N,Hardin,361,Dgerenier Ave,5510854,Harper,OR,97906
15,86,000000000,Session,N,Hardin,361,Degrenier Ave,5510854,Harper,OR,97906
18,18,726575753,Cordingley,Q,Chatel,903,Concha Pkwy,5311653,Leiter,WY,82837
19,19,186577672,Tienie,Z,Yoonsik,494,Yin Ln,5110052,New Orleans,LA,70190
20,20,525540114,Lesa,W,Altig,858,Eisenbatrh Ave,4910548,Dod dCity,TX,75458
20,101,525540114,Lesa,W,Altig,858,Eisenbargh Ave,4910548,Dodd City,TX,75438
20,22,525540114,Lesa,W,Altig,858,Eisenbarh Ave,4910548,Dodd City,TX,75438
20,91,565540114,Lesa,W,Altig,858,Esenbarth Ave,4910548,Dodd City,TX,75438
20,101,525540114,Lesa,W,Altig,858,Eisenbarth Ave,4910548,Dodd City,TX,75438
25,56,156105301,Akimasa,W,Codata,494,Dallman Avenue,5311749,Agana,GU,96922
25,96,156105307,Akimasa,W,Codata,494,Dalklman Avenue,5311749,zAgana,GU,96922
25,28,156105307,Akimasa,W,Codata,494,aDllman Av,5311749,Agana,GU,96922
25,25,156105307,Akimasa,W,Codata,494,Dallman Avenue,5311749,Agana,GU,96922
29,119,000000000,Skeldon,F,Islam,933,xStjacques,5310854,Kansas City,MO,64154
29,115,000000000,kSeldon,F,Islam,933,Sjacques,5310854,Kansas City,MO,64154
29,30,000000000,akeldon,F,Islxam,933,Stjacuqes,5310854,Kansas City,AL,64154
29,52,000000000,Skeldon,F,Islam,933,Stjacqeus,5310854,Kansas City,MO,64154
29,29,000000000,Skeldon,F,Islam,933,Stjacques,5310854,Kansas City,MO,64154
34,34,637063353,Coll,F,Baragar,249,Kosaka Street,5012255,Kewaunee,WI,54216
35,78,668413148,Crittenden,I,Worstell,594,Haubge Street,5310354,Washington,DC,20456
35,35,668413148,Crittenden,I,Worstell,594,Hduge Street,5310354,Washington,DC,20456
